1.VM Usage
,Max VMs:,2784
,Running VMs(Economy Equivalent):,48
,Stopped VMs(Economy Equivalent):,25
,Deployable(Economy):,2736
,Deployable(including stopped VMs):,2711
,Deployed VMs:,74
,Economy:,31
,Standard:,13
,Advanced:,4
,High-perf:,0
,Firewall:,0
,SLB:,0
,VSYS:,22

2. Disk Usage
,Total Disk Space(TB):,16.0
,In Use(TB):,10.8
,Zero Clearing(TB):,0.0
,Free Disk Space(TB):,5.2
,Free Disk Space(%):,32.5

3. OS Usage
Running
,CentOS 5.4 32bit (Japanese),4
,CentOS 5.4 64bit (Japanese),13
,CentOS 6.0 64bit (English),0
,CentOS 6.2 32bit (English),0
,CentOS 6.2 64bit (English),0
,CentOS5.4 ST用,10
,Red Hat Enterprise Linux 5.7 32bit (Japanese),0
,Red Hat Enterprise Linux 5.7 64bit (Japanese),0
,Red Hat Enterprise Linux 5.7 64bit (Japanese) + NetVault Backup Client for Linux with Support + Symantec AntiVirus for Linux 1.0,0
,Red Hat Enterprise Linux 5.7 64bit (Japanese) + NetVault Backup Server for Linux with Support + NetVault Backup SmartDisk for Linux with Support + Symantec AntiVirus for Linux 1.0,0
,Red Hat Enterprise Linux 5.7 64bit (Japanese) + Symantec AntiVirus for Linux 1.0 + NetVault Backup Client for Linux with Support,0
,Red Hat Enterprise Linux 6.2 32bit (Japanese) + Symantec AntiVirus for Linux 1.0,0
,Red Hat Enterprise Linux 6.2 64bit (Japanese) + Symantec AntiVirus for Linux 1.0,0
,Windows Server 2003 R2 SE 32bit SP2 (Japanese) + Symantec Endpoint Protection 11.0 (Japanese),0
,Windows Server 2008 R2 EE 64bit (Japanese) + Symantec Endpoint Protection 11.0 (Japanese),0
,Windows Server 2008 R2 SE 64bit (Japanese),2
,Windows Server 2008 R2 SE 64bit (Japanese) + SQLServer 2008 R2 SE (Japanese) + Symantec Endpoint Protection 11.0 (Japanese),1
,Windows Server 2008 R2 SE 64bit (Japanese) + Symantec Endpoint Protection 11.0 (Japanese),0
,Windows Server 2008 R2 SE 64bit (Japanese) with Support + SQLServer 2008 R2 SE (Japanese) with Support + Symantec Endpoint Protection 11.0 (Japanese),0
,Windows2003 Server SE SP2,0
,others,22

Stopped
,CentOS 5.4 32bit (Japanese),3
,CentOS 5.4 64bit (Japanese),9
,CentOS 6.0 64bit (English),0
,CentOS 6.2 32bit (English),1
,CentOS 6.2 64bit (English),0
,CentOS5.4 ST用,0
,Red Hat Enterprise Linux 5.7 32bit (Japanese),0
,Red Hat Enterprise Linux 5.7 64bit (Japanese),1
,Red Hat Enterprise Linux 5.7 64bit (Japanese) + NetVault Backup Client for Linux with Support + Symantec AntiVirus for Linux 1.0,0
,Red Hat Enterprise Linux 5.7 64bit (Japanese) + NetVault Backup Server for Linux with Support + NetVault Backup SmartDisk for Linux with Support + Symantec AntiVirus for Linux 1.0,0
,Red Hat Enterprise Linux 5.7 64bit (Japanese) + Symantec AntiVirus for Linux 1.0 + NetVault Backup Client for Linux with Support,0
,Red Hat Enterprise Linux 6.2 32bit (Japanese) + Symantec AntiVirus for Linux 1.0,0
,Red Hat Enterprise Linux 6.2 64bit (Japanese) + Symantec AntiVirus for Linux 1.0,2
,Windows Server 2003 R2 SE 32bit SP2 (Japanese) + Symantec Endpoint Protection 11.0 (Japanese),2
,Windows Server 2008 R2 EE 64bit (Japanese) + Symantec Endpoint Protection 11.0 (Japanese),0
,Windows Server 2008 R2 SE 64bit (Japanese),3
,Windows Server 2008 R2 SE 64bit (Japanese) + SQLServer 2008 R2 SE (Japanese) + Symantec Endpoint Protection 11.0 (Japanese),0
,Windows Server 2008 R2 SE 64bit (Japanese) + Symantec Endpoint Protection 11.0 (Japanese),0
,Windows Server 2008 R2 SE 64bit (Japanese) with Support + SQLServer 2008 R2 SE (Japanese) with Support + Symantec Endpoint Protection 11.0 (Japanese),0
,Windows2003 Server SE SP2,0
,others,1
